movie_name,recommend_movie
Avatar,"
Recommended Movies: 
Jupiter Ascending | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 5.2
Man of Steel | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.5
The Wolverine | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.3
Superman Returns | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 5.4
X-Men: Days of Future Past | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 7.5
Beastmaster 2: Through the Portal of Time | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 4.6
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
"
Pirates of the Caribbean: At World's End,"
Recommended Movies: 
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
Pirates of the Caribbean: Dead Man's Chest | Genres: Action,Adventure,Fantasy | Rating: 7.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
Highlander | Genres: Action,Adventure,Fantasy | Rating: 6.8
The Forbidden Kingdom | Genres: Action,Adventure,Fantasy | Rating: 6.3
"
Spectre,"
Recommended Movies: 
The Art of War | Genres: Action,Adventure,Crime | Rating: 5.6
Speed | Genres: Action,Adventure,Crime | Rating: 6.8
Kick-Ass 2 | Genres: Action,Adventure,Crime | Rating: 6.3
Quantum of Solace | Genres: Action,Adventure,Crime,Thriller | Rating: 6.1
Getaway | Genres: Action,Crime | Rating: 4.9
Witless Protection | Genres: Action,Adventure,Comedy,Crime | Rating: 4.0
Close Range | Genres: Action,Crime | Rating: 4.9
Cotton Comes to Harlem | Genres: Action,Adventure | Rating: 6.7
Ong Bak 2 | Genres: Action,Adventure,Thriller | Rating: 6.0
Parker | Genres: Action,Crime | Rating: 5.7
"
The Dark Knight Rises,"
Recommended Movies: 
The Dark Knight | Genres: Action,Crime,Drama,Thriller | Rating: 8.2
Kiss of Death | Genres: Action,Crime,Drama,Thriller | Rating: 5.7
Takers | Genres: Action,Crime,Drama,Thriller | Rating: 6.0
Faster | Genres: Action,Crime,Drama,Thriller | Rating: 6.1
In Too Deep | Genres: Action,Crime,Drama,Thriller | Rating: 6.2
Gangster Squad | Genres: Action,Crime,Drama,Thriller | Rating: 6.2
Sabotage | Genres: Action,Crime,Drama,Thriller | Rating: 5.5
Street Kings | Genres: Action,Crime,Drama,Thriller | Rating: 6.3
Harry Brown | Genres: Action,Crime,Drama,Thriller | Rating: 6.7
Stolen | Genres: Action,Crime,Drama,Thriller | Rating: 5.1
"
John Carter,"
Recommended Movies: 
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Journey 2: The Mysterious Island | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Star Trek Beyond | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
The Hunger Games: Mockingjay - Part 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
Megaforce | Genres: Action,Adventure,ScienceFiction | Rating: 3.5
Steel | Genres: Action,Adventure,ScienceFiction | Rating: 4.3
U.F.O. | Genres: Action,Adventure,ScienceFiction | Rating: 3.1
"
Spider-Man 3,"
Recommended Movies: 
Spider-Man 2 | Genres: Action,Adventure,Fantasy | Rating: 6.7
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Amazing Spider-Man 2 | Genres: Action,Adventure,Fantasy | Rating: 6.5
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
Batman v Superman: Dawn of Justice | Genres: Action,Adventure,Fantasy | Rating: 5.7
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
"
Tangled,"
Recommended Movies: 
WALL·E | Genres: Animation,Family | Rating: 7.8
Rugrats Go Wild | Genres: Animation,Family | Rating: 5.6
Pooh's Heffalump Movie | Genres: Animation,Family | Rating: 6.4
Hey Arnold! The Movie | Genres: Animation,Family | Rating: 5.6
Madagascar 3: Europe's Most Wanted | Genres: Animation,Family | Rating: 6.4
Winnie the Pooh | Genres: Animation,Family | Rating: 6.8
Home on the Range | Genres: Animation,Family | Rating: 5.7
Sammy's avonturen: De geheime doorgang | Genres: Animation,Family | Rating: 5.6
Anastasia | Genres: Animation,Family | Rating: 7.4
Space Chimps | Genres: Animation,Family | Rating: 5.2
"
Avengers: Age of Ultron,"
Recommended Movies: 
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
Captain America: Civil War | Genres: Action,Adventure,ScienceFiction | Rating: 7.1
The Avengers | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Iron Man 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
Captain America: The Winter Soldier | Genres: Action,Adventure,ScienceFiction | Rating: 7.6
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Journey 2: The Mysterious Island | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Star Trek Beyond | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
"
Harry Potter and the Half-Blood Prince,"
Recommended Movies: 
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
Harry Potter and the Chamber of Secrets | Genres: Adventure,Family,Fantasy | Rating: 7.4
Oz: The Great and Powerful | Genres: Adventure,Family,Fantasy | Rating: 5.7
Pan | Genres: Adventure,Family,Fantasy | Rating: 5.9
Harry Potter and the Philosopher's Stone | Genres: Adventure,Family,Fantasy | Rating: 7.5
Inkheart | Genres: Adventure,Family,Fantasy | Rating: 6.0
The Indian in the Cupboard | Genres: Adventure,Family,Fantasy | Rating: 5.9
Percy Jackson & the Olympians: The Lightning Thief | Genres: Adventure,Family,Fantasy | Rating: 6.0
The Adventurer: The Curse of the Midas Box | Genres: Adventure,Family,Fantasy | Rating: 5.1
Pete's Dragon | Genres: Adventure,Family,Fantasy | Rating: 6.2
"
Batman v Superman: Dawn of Justice,"
Recommended Movies: 
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Amazing Spider-Man 2 | Genres: Action,Adventure,Fantasy | Rating: 6.5
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
Red Sonja | Genres: Action,Adventure,Fantasy | Rating: 5.0
Man of Steel | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.5
"
